# ===== System & Compiler Info =====
# Date: 2026-03-18T21:39:55+00:00
# Host: codespaces-bae644
# OS: Linux 6.8.0-1044-azure x86_64 GNU/Linux
# CPU:
#   Architecture:                         x86_64
#   CPU op-mode(s):                       32-bit, 64-bit
#   Address sizes:                        48 bits physical, 48 bits virtual
#   Byte Order:                           Little Endian
#   CPU(s):                               2
#   On-line CPU(s) list:                  0,1
#   Vendor ID:                            AuthenticAMD
#   Model name:                           AMD EPYC 7763 64-Core Processor
#   CPU family:                           25
#   Model:                                1
#   Thread(s) per core:                   2
#   Core(s) per socket:                   1
#   Socket(s):                            1
#   Stepping:                             1
#   BogoMIPS:                             4890.85
#   Flags:                                fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl tsc_reliable nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw topoext vmmcall fsgsbase bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves user_shstk clzero xsaveerptr rdpru arat npt nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload umip vaes vpclmulqdq rdpid fsrm
#   Virtualization:                       AMD-V
#   Hypervisor vendor:                    Microsoft
#   Virtualization type:                  full
#   L1d cache:                            32 KiB (1 instance)
#   L1i cache:                            32 KiB (1 instance)
#   L2 cache:                             512 KiB (1 instance)
#   L3 cache:                             32 MiB (1 instance)
#   NUMA node(s):                         1
#   NUMA node0 CPU(s):                    0,1
#   Vulnerability Gather data sampling:   Not affected
#   Vulnerability Itlb multihit:          Not affected
#   Vulnerability L1tf:                   Not affected
#   Vulnerability Mds:                    Not affected
#   Vulnerability Meltdown:               Not affected
#   Vulnerability Mmio stale data:        Not affected
#   Vulnerability Reg file data sampling: Not affected
#   Vulnerability Retbleed:               Not affected
#   Vulnerability Spec rstack overflow:   Vulnerable: Safe RET, no microcode
#   Vulnerability Spec store bypass:      Vulnerable
#   Vulnerability Spectre v1:             Mitigation; usercopy/swapgs barriers and __user pointer sanitization
#   Vulnerability Spectre v2:             Mitigation; Retpolines; STIBP disabled; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
#   Vulnerability Srbds:                  Not affected
#   Vulnerability Tsx async abort:        Not affected
#   Vulnerability Vmscape:                Not affected
# Memory:
#                  total        used        free      shared  buff/cache   available
#   Mem:           7.8Gi       2.8Gi       323Mi        62Mi       5.1Gi       5.0Gi
#   Swap:             0B          0B          0B
# Compiler:
#   gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0
#   Copyright (C) 2023 Free Software Foundation, Inc.
#   This is free software; see the source for copying conditions.  There is NO
#   warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
#
# OpenMP:
#   OMP_NUM_THREADS=unset
#   OMP_PROC_BIND=unset
#   OMP_PLACES=unset
#   OMP_SCHEDULE=unset
# ==================================
#
rule,func,a,b,n,threads,workK,accum,schedule,best_s,median_s,result
simp,sin,0,3.141592653589793,2097152,4,0,reduction,,0.027384,0.030553,1.9999999999999982
simp,sin,0,3.141592653589793,2097152,4,10,reduction,,0.074668,0.079266,2.0000080017885216
simp,sin,0,3.141592653589793,2097152,4,100,reduction,,0.53456,0.595128,2.0000800177723344
